fund_code,price_date,unit_price,investor_count,total_fund_value
AAK,28.04.2026,"35,458,623",756,"35245870,82"
AAL,28.04.2026,"3,176,329",4831,"3036348386,97"
AAS,28.04.2026,"11,392,708",160,"24353907,92"
AAV,28.04.2026,"62,686,413",2294,"303430759,61"
ABG,28.04.2026,"62,627,039",159,"7733921949,44"
ABJ,28.04.2026,"919,611",3,"1229834723,15"
ABU,28.04.2026,"93,949",37,"54500518,70"
AC1,28.04.2026,"2,862,031",165,"280661100,37"
AC2,28.04.2026,"358,887",48,"8895796859,15"
AC3,28.04.2026,"66,452,376",14,"138922811,04"
AC4,28.04.2026,"3,514,002",3584,"1571399361,63"
AC5,28.04.2026,"3,420,361",180,"52520939,76"
AC6,28.04.2026,"55,809,544",111,"77692298,87"
AC7,28.04.2026,"11,820,239",45,"6387479391,31"
AC8,28.04.2026,"198,561,784",97,"2450134664,28"
ACC,28.04.2026,"44,779,645",1458,"192323513,06"
ACD,28.04.2026,"5,564,436",1566,"320910269,88"
ACN,28.04.2026,"11,736,135",15,"614574829,61"
ACU,28.04.2026,"52,713,215",160,"1346592665,69"
ADE,28.04.2026,"868,617",27065,"1039678214,93"
ADP,28.04.2026,"1,345,131",22516,"4205874211,78"
AED,28.04.2026,"110,455,981",813,"42820944,99"
AES,28.04.2026,"170,325",36102,"1767200212,89"
AEV,28.04.2026,"1,944,802",401,"11121704,84"
AFA,28.04.2026,"1,099,314",46035,"5421100025,91"
AFO,28.04.2026,"1,346,751",87354,"23039013192,29"
AFS,28.04.2026,"300,446",26891,"762725508,34"
AFT,28.04.2026,"9,189",143765,"25567006822,62"
AFV,28.04.2026,"535,226",15639,"1176310324,25"
AGC,28.04.2026,"8,667,415",2480,"99135374,92"
AHH,28.04.2026,"9,590,345",15,"204951513,20"
AHI,28.04.2026,"3,772,808",2666,"146903409,77"
AHN,28.04.2026,"66,175,035",101,"28552476,04"
AHU,28.04.2026,"10,147,412",604,"214147404,42"
AHV,28.04.2026,"19,748,066",153,"117251692,00"
AHZ,28.04.2026,"26,972,456",12,"632150206,21"
AI1,28.04.2026,"1,109,957",19,"65396605,45"
AIH,28.04.2026,"18,215,817",4,"175668862,33"
AII,28.04.2026,"89,551,908",3,"366356856,46"
AIM,28.04.2026,"24,534,199",1,"53049979,39"
AIR,28.04.2026,"153,294,171",1,"1342509573,77"
AIS,28.04.2026,"95,072",12657,"13199895761,06"
AJ1,28.04.2026,"1,206,537",104,"31656009,95"
AJE,28.04.2026,"58,738,624",1020,"3657559314,65"
AJK,28.04.2026,"60,115,737",131,"135438650,47"
AJL,28.04.2026,"5,973,469",1480,"5381404903,61"
AJN,28.04.2026,"58,009,759",355,"562760040,49"
AK2,28.04.2026,"507,194",9475,"213613235,28"
AK3,28.04.2026,"53,539,916",21248,"8593473878,69"
AKE,28.04.2026,"491,721",13912,"1053334608,03"
AKU,28.04.2026,"960,716",17232,"1590463380,37"
AL4,28.04.2026,"3,540,957",12,"1127957767,18"
AL5,28.04.2026,"50,389,327",2462,"15024898407,82"
AL6,28.04.2026,"3,462,463",12,"4939525272,53"
AL7,28.04.2026,"3,346,731",107,"7743589004,35"
ALC,28.04.2026,"371,059",26653,"2050339854,37"
ALE,28.04.2026,"11,967,514",134423,"70549293256,04"
AN1,28.04.2026,"97,330,623",2568,"1046431524,90"
ANL,28.04.2026,"33,181,549",4138,"646532702,47"
ANZ,28.04.2026,"20,402,733",182,"267696858,63"
AOJ,28.04.2026,"1,552,767",248,"24562808,61"
AOY,28.04.2026,"366,229",36474,"1021370096,00"
AP2,28.04.2026,"3,665,847",35,"1052194441,17"
AP4,28.04.2026,"1,341,349",11,"334288658,52"
AP5,28.04.2026,"10,311",12,"1058518,94"
AP6,28.04.2026,"8,613,523",46,"1038780496,03"
AP7,28.04.2026,"2,323,249",540,"176822862,47"
APJ,28.04.2026,"6,974,432",3175,"102149001,01"
APP,28.04.2026,"32,341,532",2,"207487163,78"
APT,28.04.2026,"147,934",13538,"310914254,62"
ARE,28.04.2026,"221,359",1668,"36024648,84"
ARF,28.04.2026,"7,879,026",1,"711869181,67"
ARL,28.04.2026,"1,499,096",7900,"4232467243,00"
ARM,28.04.2026,"17,779,346",5630,"3354591466,94"
ARP,28.04.2026,"41,361,275",1,"3125423247,71"
AS1,28.04.2026,"44,811,544",41,"6549117,49"
AS3,28.04.2026,"741,935",16,"167564646,06"
ASJ,28.04.2026,"3,863,802",850,"73004395,38"
ATJ,28.04.2026,"22,284,092",11,"1066683812,94"
AU1,28.04.2026,"1,186,801",621,"58741851,50"
AUT,28.04.2026,"8,974,343",152,"2635800,36"
AUV,28.04.2026,"46,510,588",619,"774539757,92"
AVC,28.04.2026,"144,179,461",11,"243049804,65"
AVT,28.04.2026,"20,089,935",19663,"3433669239,39"
AVZ,28.04.2026,"96,306,449",1,"221742709,63"
AY6,28.04.2026,"1,311,639",11,"102651781,54"
AY7,28.04.2026,"1,485,602",12,"210560372,82"
AYA,28.04.2026,"19,232,478",10401,"1255831479,24"
AYR,28.04.2026,"124,182",13185,"1607482088,36"
AZF,28.04.2026,"163,655",4,"544178685,02"
AZJ,28.04.2026,"18,210,651",40,"660391139,19"
AZV,28.04.2026,"25,040,293",4,"4212949371,33"
AZZ,28.04.2026,"5,904,296",7,"27012626354,48"
BA1,28.04.2026,"1,402,233",25,"281339498,07"
BAC,28.04.2026,"7,154,706",11,"5399645239,24"
BAG,28.04.2026,"906,983",66,"49477742,99"
BAL,28.04.2026,"46,498,225",1,"1021765490,17"
BAO,28.04.2026,"3,331,563",4,"153319819,52"
BAS,28.04.2026,"50,248,796",1,"1437657454,66"
BBF,28.04.2026,"31,974",1116,"176014779,38"
BBI,28.04.2026,"1,620,279",11,"1101669,48"
BBN,28.04.2026,"657,756",13,"1513208870,54"
BBO,28.04.2026,"2,533,599",12,"839605563,08"
BBP,28.04.2026,"2,047,407",798,"36049203,32"
BBS,28.04.2026,"1,391,784",780,"1105285936,48"
BCC,28.04.2026,"640,794",2,"2577487703,46"
BCK,28.04.2026,"1,821,673",1860,"111638104,97"
BCO,28.04.2026,"1,728,982",460,"48300583,40"
BDA,28.04.2026,"5,340,536",443,"1143205328,75"
BDC,28.04.2026,"9,123,106",40,"394725404,67"
BDI,28.04.2026,"639,563",74,"521497560,05"
BDO,28.04.2026,"2,833,434",11,"4755349755,19"
BDS,28.04.2026,"2,449,808",12357,"533214225,13"
BDY,28.04.2026,"1,608,605",2461,"104262202,38"
BFE,28.04.2026,"1,757,107",64,"9244194,53"
BFO,28.04.2026,"49,953,772",1,"3528422817,32"
BFS,28.04.2026,"1,032,834",51,"6324414,25"
BFT,28.04.2026,"11,937",586,"254799267,52"
BGH,28.04.2026,"2,101,019",1,"987540794,46"
BGP,28.04.2026,"5,778,312",30966,"62766652527,90"
BHA,28.04.2026,"1,586,638",883,"104312197,59"
BHE,28.04.2026,"1,969,466",82,"41752738,50"
BHF,28.04.2026,"3,003,681",2551,"335962870,94"
BHH,28.04.2026,"648,754",74,"1151531164,52"
BHI,28.04.2026,"2,081,676",362,"658810195,98"
BHL,28.04.2026,"1,233,504",784,"60947707,45"
BHO,28.04.2026,"1,119,724",1,"1042815192,92"
BI5,28.04.2026,"2,309,092",11,"207923997,97"
BIA,28.04.2026,"230,523",12,"590184,29"
BID,28.04.2026,"3,412,663",2256,"292712490,61"
BIG,28.04.2026,"1,382,505",3781,"578846997,45"
BIH,28.04.2026,"7,509,574",410,"749021583,69"
BIK,28.04.2026,"1,447,844",14,"3363368454,65"
BIO,28.04.2026,"2,489,459",12043,"1119423540,52"
BIP,28.04.2026,"1,445,448",194,"3839128832,03"
BIS,28.04.2026,"1,629,307",76,"808745811,78"
BIY,28.04.2026,"1,277,225",333,"79632490,40"
BJD,28.04.2026,"49,571,967",76,"1628445991,80"
BKO,28.04.2026,"1,133,486",1,"3057472907,46"
BKY,28.04.2026,"4,604,058",575,"2086993246,06"
BLA,28.04.2026,"7,446,077",15,"6957914095,48"
BLD,28.04.2026,"147,658",750,"474473794,52"
BLT,28.04.2026,"176,142",3058,"382666582,25"
BMU,28.04.2026,"1,301,154",12,"1082605860,25"
BNC,28.04.2026,"199,237",255,"712984187,58"
BNH,28.04.2026,"1,297,112",202,"133340374,85"
BOH,28.04.2026,"942,972",11,"236280227,90"
BOL,28.04.2026,"155,558",258,"42011669,30"
BON,28.04.2026,"1,244,868",334,"25534073,06"
BOP,28.04.2026,"45,928,298",9,"1125437431,57"
BOS,28.04.2026,"1,467,627",1385,"2453813998,73"
BP5,28.04.2026,"1,554,386",15,"414763331,38"
BPD,28.04.2026,"49,613,033",11,"136357899,06"
BPZ,28.04.2026,"1,385,793",418,"455566083,85"
BRB,28.04.2026,"1,420,875",11,"937551275,26"
BRC,28.04.2026,"1,214,658",39,"127119577,84"
BRF,28.04.2026,"1,484,733",1124,"110651735,82"
BRG,28.04.2026,"4,528,212",1622,"1789726131,72"
BRH,28.04.2026,"5,652,597",15,"4557241046,71"
BRR,28.04.2026,"1,467,993",276,"384203308,26"
BRT,28.04.2026,"1,320,936",487,"37571679,29"
BRZ,28.04.2026,"51,041,429",5,"1598496474,06"
BS1,28.04.2026,"1,165,033",137,"7339950,19"
BSA,28.04.2026,"42,213",1,"860943928,22"
BSD,28.04.2026,"1,109,191",97,"274922485,23"
BSE,28.04.2026,"87,961",66,"615472155,08"
BSF,28.04.2026,"1,349,727",1,"7630687051,98"
BSH,28.04.2026,"1,078,276",162,"8598147,30"
BSM,28.04.2026,"1,464,896",2072,"1513029920,36"
BSN,28.04.2026,"14,722",14,"41630724,70"
BST,28.04.2026,"10,130,784",698,"60584824,13"
BTE,28.04.2026,"4,086,614",948,"214225861,30"
BTJ,28.04.2026,"1,245,996",79,"27816215,80"
BTK,28.04.2026,"1,337,375",384,"124472023,20"
BTP,28.04.2026,"511,434",15,"50672572,04"
BTY,28.04.2026,"54,795,737",3,"774702124,36"
BTZ,28.04.2026,"1,272,124",206,"8365081,69"
BUB,28.04.2026,"1,041,479",41,"3448424,11"
BUC,28.04.2026,"1,050,369",23,"257466950,30"
BUP,28.04.2026,"3,747,527",1,"12572116194,21"
BUT,28.04.2026,"1,739,714",4,"206603800,13"
BUV,28.04.2026,"1,366,904",473,"64670239,67"
BUY,28.04.2026,"1,833,364",18262,"413370023,22"
BV1,28.04.2026,"1,536,636",796,"147640212,74"
BVB,28.04.2026,"4,060,557",1,"4365111435,21"
BVC,28.04.2026,"3,858,908",1,"6256610969,53"
BVD,28.04.2026,"1,200,381",343,"218282440,56"
BVF,28.04.2026,"1,245,247",545,"1135555293,75"
BVH,28.04.2026,"1,813,699",14,"116923401,77"
BVI,28.04.2026,"2,997,844",31,"318026154,81"
BVK,28.04.2026,"1,034,275",38,"22918666,36"
BVM,28.04.2026,"1,280,347",164,"11159000,32"
BVT,28.04.2026,"5,101,569",10,"19204841,86"
BVV,28.04.2026,"2,874,017",525,"106385582,16"
BVZ,28.04.2026,"3,972,931",756,"2435377531,18"
BYZ,28.04.2026,"2,221,014",42,"182464796,30"
CAH,28.04.2026,"1,361,625",369,"55731622,59"
CBD,28.04.2026,"2,581,266",15,"246230789,22"
CBN,28.04.2026,"48,726,114",6,"626523204,68"
CBO,28.04.2026,"308,651,698",3,"2233173434,04"
CEY,28.04.2026,"61,876,728",3,"205086393,60"
CFO,28.04.2026,"2,224,722",501,"2865352939,76"
CGD,28.04.2026,"54,187,204",2,"599827095,11"
CHY,28.04.2026,"626,625",42,"140672464,42"
CIN,28.04.2026,"1,599,845",538,"38211921,23"
CJD,28.04.2026,"47,792,465",29,"48098719,58"
CJF,28.04.2026,"610,168",3,"1851520878,41"
CJG,28.04.2026,"61,404,232",1,"1860163473,22"
CJH,28.04.2026,"58,468,845",1812,"3214254878,94"
CKF,28.04.2026,"1,862,507",1715,"539972146,66"
CKL,28.04.2026,"1,418,036",839,"373799148,54"
CKS,28.04.2026,"56,990,106",2451,"6039579037,30"
COT,28.04.2026,"5,598,816",197,"516293696,34"
CPT,28.04.2026,"3,353,707",8882,"538224129,73"
CPU,28.04.2026,"3,162,527",12745,"1007507519,50"
CRL,28.04.2026,"45,553,015",3,"979389811,99"
CSD,28.04.2026,"60,092,641",1,"626210325,39"
CSH,28.04.2026,"3,707,645",55,"5514911506,98"
CTF,28.04.2026,"8,701,911",1,"325203979,99"
CTG,28.04.2026,"7,116,759",1,"15417062,43"
CTM,28.04.2026,"5,971,093",1,"15419582,32"
CTP,28.04.2026,"58,143,624",1,"526308527,46"
CTV,28.04.2026,"10,159,978",4,"192437824,44"
CVA,28.04.2026,"3,701,718",1,"8554564784,74"
CVB,28.04.2026,"3,818,569",5,"1806625484,10"
CVC,28.04.2026,"2,600,101",2,"652952294,86"
CVD,28.04.2026,"59,450,917",2,"1015694662,05"
CVE,28.04.2026,"2,459,456",1,"270594869,39"
CVF,28.04.2026,"419,642",1,"867748710,52"
CVK,28.04.2026,"4,664,209",2081,"626263673,96"
CVL,28.04.2026,"1,227,627",101,"28136877,24"
CYD,28.04.2026,"54,552,162",382,"1297542058,56"
DA1,28.04.2026,"46,221,061",48,"31043589,66"
DAC,28.04.2026,"67,843,931",1,"522044121,31"
DAE,28.04.2026,"3,621,889",1,"1820327369,71"
DAH,28.04.2026,"3,753,775",2914,"772039714,06"
DAI,28.04.2026,"89,518,999",4,"342904405,49"
DAL,28.04.2026,"66,533,312",1,"577187255,88"
DAS,28.04.2026,"51,182,265",26773,"133666301642,69"
DAT,28.04.2026,"9,071,029",6,"406179996,54"
DAV,28.04.2026,"5,471,687",138,"1037909264,16"
DAZ,28.04.2026,"1,229,263",4,"325197215,65"
DB2,28.04.2026,"1,853,302",18,"122996896,88"
DBA,28.04.2026,"751,671",27489,"11485663344,65"
DBB,28.04.2026,"102,512",1979,"332342159,25"
DBG,28.04.2026,"578,609",3,"2380358403,50"
DBH,28.04.2026,"353,954",9204,"1007787529,75"
DBK,28.04.2026,"107,543",85955,"685604424,98"
DBP,28.04.2026,"460,439",1110,"160410578,17"
DBZ,28.04.2026,"12,473",3054,"775187377,15"
DCB,28.04.2026,"4,209,757",22400,"133007961610,94"
DCD,28.04.2026,"62,112,238",1,"266791565,40"
DCE,28.04.2026,"68,055,951",3,"1184132654,30"
DCN,28.04.2026,"1,275,417",1088,"148093394,18"
DCP,28.04.2026,"69,864,503",3,"249030762,07"
DDA,28.04.2026,"1,355,473",1230,"250013985,67"
DDC,28.04.2026,"11,005,547",11,"3691927694,22"
DDE,28.04.2026,"71,159,229",1,"392448344,04"
DDF,28.04.2026,"11,105,517",652,"280705770,05"
DDP,28.04.2026,"68,899,701",1,"72071980,59"
DEF,28.04.2026,"2,557,641",96,"68595362,10"
DEI,28.04.2026,"3,483",13,"4137358,65"
DFC,28.04.2026,"3,118,227",1683,"129075774,57"
DFD,28.04.2026,"2,585,147",536,"157672537,96"
DFI,28.04.2026,"3,751,477",40047,"18212754870,64"
DFO,28.04.2026,"3,454,274",2,"1021655585,57"
DGF,28.04.2026,"1,285,002",223,"26550794,75"
DGH,28.04.2026,"9,494,936",233,"1134326236,44"
DHI,28.04.2026,"5,091,771",46,"764892785,25"
DHJ,28.04.2026,"7,135,008",3025,"227448095,81"
DHM,28.04.2026,"5,137,965",1293,"29985066,99"
DHP,28.04.2026,"3,963,669",1,"7481397,75"
DHS,28.04.2026,"345,565,345",1,"4563307177,99"
DHT,28.04.2026,"1,048,852",556,"72917328,92"
DHV,28.04.2026,"2,187,579",11,"318292493,75"
DID,28.04.2026,"1,367,633",184,"36604852,02"
DIH,28.04.2026,"1,721,304",11,"129196964,20"
DIM,28.04.2026,"48,904,754",1,"111870016,53"
DIP,28.04.2026,"139,116",1250,"48622098281,82"
DK1,28.04.2026,"1,321,609",66,"4208655741,79"
DK8,28.04.2026,"45,174,166",313,"1748887037,85"
DKA,28.04.2026,"45,101,719",239,"2299232926,95"
DKC,28.04.2026,"662,771",13,"207782,58"
DKH,28.04.2026,"3,613,903",1538,"212339035,98"
DKL,28.04.2026,"47,235,216",110,"418964933,90"
DKP,28.04.2026,"45,081,335",644,"3960846134,98"
DKR,28.04.2026,"723,828",556,"55170830,53"
DKS,28.04.2026,"67,384,656",2,"216165259,49"
DKY,28.04.2026,"45,018,186",231,"2557774718,41"
DL2,28.04.2026,"2,194,279",720,"9778785469,23"
DLD,28.04.2026,"7,328,388",626,"80332130,25"
DLG,28.04.2026,"1,174,051",44,"4456497,67"
DLN,28.04.2026,"1,906,096",12,"30538504,21"
DLY,28.04.2026,"538,279",313634,"73190293994,26"
DLZ,28.04.2026,"1,304,379",13,"160989,02"
DMG,28.04.2026,"7,437,645",16569,"3682984488,87"
DMR,28.04.2026,"54,127,979",1,"16047275144,03"
DMV,28.04.2026,"65,587,252",2,"315236339,95"
DMZ,28.04.2026,"59,735,518",5,"595903363,59"
DNA,28.04.2026,"9,377,528",5,"1866347953,04"
DNF,28.04.2026,"1,189,564",100,"23770150,33"
DNH,28.04.2026,"1,173,443",76,"19138883,22"
DNK,28.04.2026,"1,704,478",212,"16072430,59"
DNL,28.04.2026,"51,851,322",1,"206612273,12"
DNM,28.04.2026,"48,540,052",1209,"1741417116,83"
DNP,28.04.2026,"1,270,102",265,"1421281011,74"
DNU,28.04.2026,"44,875,375",16,"36897206,67"
DOC,28.04.2026,"44,957,867",178,"4603636666,83"
DOD,28.04.2026,"6,404,425",24,"15461327350,11"
DOH,28.04.2026,"207,046",5482,"959301069,01"
DOL,28.04.2026,"48,982,594",383,"3480377623,60"
DOR,28.04.2026,"66,432,109",1,"478492211,47"
DOS,28.04.2026,"65,374,039",2,"3081165128,66"
DOV,28.04.2026,"57,132,484",17782,"71312882189,35"
DP1,28.04.2026,"1,780,919",7,"5068082993,78"
DP2,28.04.2026,"62,618,786",11,"337997296,76"
DP3,28.04.2026,"65,060,398",4,"265043177,70"
DP4,28.04.2026,"68,123,998",3,"510895309,51"
DP5,28.04.2026,"76,807,248",1,"1663404897,96"
DP6,28.04.2026,"44,957,445",215,"1814990991,08"
DP7,28.04.2026,"56,819,745",3,"511478961,48"
DP8,28.04.2026,"45,331,889",50,"376847576,81"
DP9,28.04.2026,"4,502,143",155,"5690215577,70"
DPB,28.04.2026,"22,792,755",3849,"20772877050,87"
DPC,28.04.2026,"92,396,403",1,"318247862,10"
DPE,28.04.2026,"21,087,779",1,"1380335964,01"
DPG,28.04.2026,"93,580,985",2,"536611426,29"
DPI,28.04.2026,"7,945,147",111,"263962294,65"
DPK,28.04.2026,"7,711,002",1312,"828820561,92"
DPL,28.04.2026,"95,943,579",1,"2480293488,24"
DPN,28.04.2026,"56,394,556",1,"2212922,38"
DPP,28.04.2026,"156,590,655",2,"211386735,78"
DPT,28.04.2026,"1,740,582",5504,"342928872,29"
DPZ,28.04.2026,"76,593,262",1,"115473686,24"
DRA,28.04.2026,"1,200,982",16,"48683954,37"
DRD,28.04.2026,"53,082,786",153,"1663958865,68"
DRH,28.04.2026,"1,071,071",69,"148502729,69"
DRS,28.04.2026,"69,966,647",3,"232447041,92"
DRT,28.04.2026,"110,936",353,"19793105,77"
DSC,28.04.2026,"62,351,324",1,"926547406,97"
DSD,28.04.2026,"67,397,664",1669,"5765653689,22"
DSH,28.04.2026,"2,018,971",101,"24648615,62"
DSP,28.04.2026,"13,605,256",1092,"140264910,19"
DSV,28.04.2026,"45,864,627",48,"1214268340,16"
DTH,28.04.2026,"1,251,357",123,"174074255,92"
DTL,28.04.2026,"3,909,168",3752,"164832143,30"
DTM,28.04.2026,"1,369,638",3158,"67758042,89"
DTO,28.04.2026,"45,000,532",159,"112121255,01"
DTP,28.04.2026,"1,836,139",4,"1663487014,45"
DTV,28.04.2026,"63,754,927",4,"3846090427,23"
DTZ,28.04.2026,"4,602,795",6331,"273703757,22"
DUC,28.04.2026,"65,612",12,"227254,37"
DUD,28.04.2026,"48,275,463",264,"322880778,40"
DUH,28.04.2026,"1,178,327",79,"5168620,05"
DUT,28.04.2026,"45,208,379",258,"834993343,27"
DUV,28.04.2026,"1,211,536",217,"71290467,81"
DVC,28.04.2026,"63,807,914",1,"52641528,84"
DVI,28.04.2026,"72,540,432",2,"183012182,20"
DVN,28.04.2026,"60,588,994",1,"290193288,73"
DVO,28.04.2026,"4,743,164",1,"30392234,02"
DVS,28.04.2026,"1,391,996",315,"260399913,19"
DVT,28.04.2026,"835,836",10799,"743020045,00"
DVU,28.04.2026,"7,667,827",5,"1380397510,21"
DVZ,28.04.2026,"61,882,073",1,"1300238633,66"
DXP,28.04.2026,"1,828,341",1179,"54266575,23"
DYJ,28.04.2026,"45,145,985",156,"1063977783,61"
DYN,28.04.2026,"4,341,669",1680,"58247318,67"
DYS,28.04.2026,"1,492,477",13,"17328835,85"
DZ2,28.04.2026,"1,416,938",2,"12250674649,05"
DZE,28.04.2026,"101,152",3029,"259006489,09"
DZM,28.04.2026,"80,874,239",4837,"19881873564,99"
DZP,28.04.2026,"56,513,814",2,"440129584,52"
DZS,28.04.2026,"140,485",157,"62494347,40"
EBD,28.04.2026,"229,468",395,"46141463,91"
EBI,28.04.2026,"53,303,179",30,"585848946,00"
EBS,28.04.2026,"45,550,636",32,"3316316912,11"
EC2,28.04.2026,"87,763,649",2580,"89962549,98"
ECA,28.04.2026,"1,708,422",390,"161784864,16"
ECB,28.04.2026,"47,379,329",3203,"842497430,50"
ECV,28.04.2026,"435,971",2396,"97415749,29"
EDD,28.04.2026,"1,052,407",13,"10610162,44"
EDP,28.04.2026,"1,028,451",34,"52437759,93"
EDT,28.04.2026,"1,998,528",627,"964304463,92"
EDU,28.04.2026,"329,965",663,"441240653,22"
EES,28.04.2026,"55,153,292",1,"461160224,89"
EGP,28.04.2026,"53,989,042",50,"246953543,69"
EHS,28.04.2026,"2,886,474",3,"681031694,21"
EIB,28.04.2026,"580,907",450,"281961389,38"
EID,28.04.2026,"1,845,061",2192,"119766495,07"
EIL,28.04.2026,"465,219",1917,"1365147479,56"
EJG,28.04.2026,"958,736",1,"655959553,54"
EKF,28.04.2026,"125,046",5409,"1849312960,04"
EKL,28.04.2026,"1,618,441",1450,"22999077210,15"
ELZ,28.04.2026,"13,796,784",786,"563218089,14"
EME,28.04.2026,"1,203,309",26,"41582057,11"
EML,28.04.2026,"1,177,296",784,"43104364,10"
ENA,28.04.2026,"1,053,824",15,"10927513,48"
ENJ,28.04.2026,"1,354,423",742,"49874339,29"
ENO,28.04.2026,"45,079,416",10,"45120888,63"
ENR,28.04.2026,"1,064,696",35,"13424645,19"
ENS,28.04.2026,"1,086,537",14,"11127277,58"
EPA,28.04.2026,"121,882",87,"435016845,48"
EPI,28.04.2026,"1,158,174",187,"273761324,41"
EPK,28.04.2026,"1,426,185",2056,"280176188,60"
EPO,28.04.2026,"57,633,454",1,"425910940,19"
EPP,28.04.2026,"1,303,882",40,"1703041670,62"
EPT,28.04.2026,"1,180,295",55,"918471749,86"
ESG,28.04.2026,"420,962",83,"117588586,29"
ESN,28.04.2026,"1,640,083",12,"63239343,28"
ESP,28.04.2026,"520,529",378,"63280230,11"
EUN,28.04.2026,"59,801,935",3603,"6435352512,19"
EUZ,28.04.2026,"59,269,068",39787,"138387196664,04"
EVM,28.04.2026,"1,086,212",610,"45817363,03"
EYT,28.04.2026,"2,799,934",631,"87530469,15"
EZM,28.04.2026,"42,152,551",1,"4215255,13"
FAK,28.04.2026,"137,229",451,"34030838,03"
FAL,28.04.2026,"1,257,313",935,"345876877,07"
FBC,28.04.2026,"2,267,421",5915,"195056313,06"
FBI,28.04.2026,"49,262,016",5462,"20089066747,74"
FBN,28.04.2026,"10,332,117",15,"15985697,14"
FBV,28.04.2026,"7,173,257",2331,"672010819,06"
FBZ,28.04.2026,"4,152,589",381,"188689586,30"
FCK,28.04.2026,"1,942,875",869,"344724324,66"
FCS,28.04.2026,"2,046,681",177,"1506474918,99"
FD1,28.04.2026,"1,822,654",176,"30508907,77"
FDE,28.04.2026,"45,026,696",895,"4179377955,21"
FDG,28.04.2026,"2,693,079",1502,"313081063,02"
FDO,28.04.2026,"57,230,226",1,"271120355,15"
FDV,28.04.2026,"5,229,027",1,"1307256680,61"
FDY,28.04.2026,"45,158,326",890,"3884521353,19"
FDZ,28.04.2026,"303,405",12,"230326037,03"
FFD,28.04.2026,"45,232",355,"227220152,80"
FFF,28.04.2026,"62,520,689",1,"1051743531,69"
FFH,28.04.2026,"792,027",1963,"1263130440,81"
FFO,28.04.2026,"58,133,302",7,"104747721,88"
FFP,28.04.2026,"7,357,556",2831,"2553118270,78"
FHI,28.04.2026,"1,501,288",11,"235299397,48"
FHP,28.04.2026,"3,001,527",45,"9981507503,88"
FHZ,28.04.2026,"62,403,084",3,"723283379,96"
FI3,28.04.2026,"730,261,297",9865,"1836718621,37"
FI5,28.04.2026,"657,096,514",51873,"92511855931,45"
FIB,28.04.2026,"512,898",13633,"6213027971,03"
FID,28.04.2026,"1,009,094",1817,"972239915,39"
FIL,28.04.2026,"328,994",19030,"12513171968,48"
FIT,28.04.2026,"215,329",607,"216131659,47"
FJB,28.04.2026,"6,450,111",838,"393368179,47"
FJC,28.04.2026,"55,642,882",88,"1265095563,60"
FJM,28.04.2026,"53,671,777",1744,"8678286968,31"
FJN,28.04.2026,"53,476,527",1261,"5488445541,07"
FJZ,28.04.2026,"6,171,888",890,"1715843607,87"
FKE,28.04.2026,"56,050,528",12702,"49768253932,87"
FKH,28.04.2026,"45,549,183",2132,"12498240447,10"
FKV,28.04.2026,"4,516,421",488,"2221175861,07"
FLS,28.04.2026,"57,892,942",2086,"3063292447,81"
FLY,28.04.2026,"1,615,618",1616,"118022286,12"
FMG,28.04.2026,"3,691,753",12874,"14405827676,97"
FMS,28.04.2026,"53,722,173",1,"629716375,71"
FMV,28.04.2026,"1,259,742",23,"138507688,06"
FNE,28.04.2026,"2,737,881",1,"1067335,54"
FNN,28.04.2026,"0,00",1,"0,00"
FNO,28.04.2026,"19,029",8570,"15590506804,75"
FNT,28.04.2026,"2,028,925",2141,"597267535,65"
FP4,28.04.2026,"1,264,399",120,"93524052,80"
FPE,28.04.2026,"709,322",1431,"318955573,75"
FPG,28.04.2026,"24,163",2548,"1309501127,98"
FPH,28.04.2026,"34,134,218",4850,"1534227410,18"
FPI,28.04.2026,"2,343,399",169,"112250388,93"
FPK,28.04.2026,"87,655",1164,"280031639,35"
FPR,28.04.2026,"11,235,835",21,"173970419,99"
FPZ,28.04.2026,"64,208,184",19559,"133013988510,18"
FR1,28.04.2026,"1,477,138",21,"562267345,99"
FRA,28.04.2026,"32,782,903",2,"535876610,48"
FRC,28.04.2026,"1,767,221",398,"91080873,54"
FRZ,28.04.2026,"15,515,093",2,"277730144,65"
FS1,28.04.2026,"1,783,051",296,"216825954,78"
FS2,28.04.2026,"2,062,229",28,"16218274,88"
FS3,28.04.2026,"191,778",22,"1630653793,12"
FS4,28.04.2026,"8,728,876",21,"4481203285,01"
FS5,28.04.2026,"2,521,556",9,"22170176,08"
FS6,28.04.2026,"1,577,366",388,"116796676,84"
FSF,28.04.2026,"6,112,996",7242,"11289826797,69"
FSG,28.04.2026,"3,760,589",848,"1045904934,95"
FSH,28.04.2026,"4,157,789",473,"338377123,40"
FSK,28.04.2026,"5,420,406",2576,"6431154036,45"
FSM,28.04.2026,"8,056,105",21,"1081117356,20"
FSP,28.04.2026,"37,243,833",23,"473145,66"
FSR,28.04.2026,"4,493,829",2538,"8822732057,62"
FSU,28.04.2026,"1,324,971",7279,"928610162,47"
FSV,28.04.2026,"52,949,169",876,"5365339276,34"
FTL,28.04.2026,"1,356,204",212,"390349383,53"
FTM,28.04.2026,"52,330,923",14,"1697818128,11"
FTY,28.04.2026,"44,993,144",1253,"7526003156,83"
FUA,28.04.2026,"5,445,278",5051,"343984432,29"
