fund_code,fund_name,isin,type_code,annual_management_fee_rate
KOT,AZİMUT PORTFÖY KOÇ TOPLULUĞU ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYAZIM01562,104,1.050
KP3,KARE PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,TRYKARP00081,108,0.500
KPA,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYKTPY00509,104,2.750
KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYKTPY00186,104,2.400
KPD,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON,TRYKTPY00533,108,0.800
KPF,NEO PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYVVGS00768,108,3.000
KPH,İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYISPO01504,104,3.200
KPI,İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TRYISPO01769,114,1.300
KPP,KARE PORTFÖY PARA PİYASASI FONU,TRYKARP00040,107,1.090
KPU,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYKTPY00392,104,2.200
KRA,TRİVE PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,TRYKIGP00129,114,1.200
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TRYKARE00036,100,1.460
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYKARP00016,101,2.190
KRR,İŞ PORTFÖY KARMA FON,TRYISPO01884,110,2.250
KRS,KARE PORTFÖY SERBEST (DÖVİZ) FON,TRYKARE00051,108,2.550
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,TRYKARP00024,108,1.095
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,TRYHDFP00565,108,2.250
KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,TRYAZIM01240,114,1.050
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,TRYKTPY00236,114,2.000
KST,ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYALBT00275,104,2.625
KSV,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,TRYKTPY00160,108,1.400
KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYAZIM01190,104,2.625
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,TRYKTPY00442,114,2.400
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,TRYKTPY00012,114,2.100
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,TRYKTPY00020,114,1.500
KTR,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,TRYKTPY00038,108,1.000
KTS,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYKTPY00046,108,2.100
KTT,KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON,TRYKTPY00053,108,0.600
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,TRYKTPY00061,114,1.500
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,TRYKTPY00715,114,2.500
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,TRYKARE00044,101,2.190
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,TRYKTPY00723,114,2.000
