fund_code,fund_name,isin,type_code,annual_management_fee_rate
PAO,PARDUS PORTFOY ANADOLU HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYA1PY00610,TRYA1PY00610,108,2.000
PBI,PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYA1PY00461,102,1.000
PBK,QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON,TRYQPYS00078,108,1.000
PCE,PARDUS PORTFOY INCI SERBEST FON - TRYA1PY00677,TRYA1PY00677,108,2.000
PDD,QİNVEST PORTFÖY KATILIM FONU,TRYQPYS00060,114,2.088
PDF,QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYQPYS00052,108,1.000
PEA,PERFORM PORTFÖY ALTIN FONU,TRYPEPO00071,105,1.825
PFO,PHİLLİP PORTFÖY FON SEPETİ FONU,TRYPHPY00057,102,2.600
PFS,ATLAS PORTFÖY FON SEPETİ FONU,TRYATLP00184,102,1.050
PGD,QİNVEST PORTFÖY AGRESİF DEĞİŞKEN FON,TRYQPYS00300,101,2.100
PGS,AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYAZIM01570,104,2.350
PHI,PİRAMİT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYPRMT00053,104,2.363
PHK,PHİLLİP PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYPHPY00099,104,2.500
PID,PİRAMİT PORTFÖY DEĞİŞKEN FON,TRYPRMT00046,101,1.575
PIL,ROTA PORTFÖY PİL TEKNOLOJİLERİ VE ENERJİ FON SEPETİ FONU,TRYROTP00281,102,2.500
PIP,GARANTİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,TRYGAPO01506,108,0.700
PIR,PİRAMİT PORTFÖY ALTIN FONU,TRYPRMT00061,105,1.575
PIS,PARDUS PORTFÖY İKİNCİ KISA VADELİ SERBEST (TL) FON,TRYA1PY00784,108,1.000
PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,TRYPHPY00016,107,1.250
PJP,PERFORM PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYPEPO00022,108,0.750
PKD,PUSULA PORTFÖY İKİNCİ DENGE KATILIM SERBEST FON,TRYPSLP00150,108,4.000
PKF,ATA PORTFÖY ALTIN KATILIM FONU,TRYATAP00138,114,1.000
PKP,ATA PORTFÖY PARA PİYASASI KATILIM SERBEST FON,TRYATAP00203,108,0.800
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,TRYROTP00877,114,1.000
PKT,YAPI KREDİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,TRYYAPO01038,108,0.600
PKV,PARDUS PORTFOY YONETIMI AS KISA VADELI SERBEST (TL) FON - TRYA1PY00511,TRYA1PY00511,108,1.250
PLR,OSMANLI PORTFÖY PARA PİYASASI FONU,TRYOSMP00250,107,0.420
PNU,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,TRYPSLP00168,107,1.100
PO9,PARDUS PORTFÖY ONDOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYA1PY00594,108,2.000
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,TRYA1PY00495,114,1.000
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYPHPY00024,104,2.900
PPE,PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON,TRYPHPY00040,108,1.500
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,TRYAPYS00692,114,1.250
PPH,PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYA1PY00545,104,2.000
PPI,YAPI KREDİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,TRYYAPO00865,107,0.450
PPJ,AK PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,TRYAKPO01805,108,0.390
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TRYFIPO00743,114,1.300
PPM,PİRAMİT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYPRMT00012,108,2.100
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,TRYNRPO00029,107,0.700
PPP,PERFORM PORTFÖY PARA PİYASASI (TL) FONU,TRYPEPO00063,107,1.000
PPS,PHILLIP PORTFOY BIRINCI SERBEST FON - TRYPHPY00032,TRYPHPY00032,108,2.500
PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,TRYATLP00218,107,1.050
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,TRYAZIM00341,107,1.300
PRD,PİRAMİT PORTFÖY PARA PİYASASI (TL) FONU,TRYPRMT00020,107,0.788
PRH,AURA PORTFÖY PARA PİYASASI (TL) FONU,TRYTALP00143,107,1.250
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TRYGEPO00625,114,1.155
PRU,ALLBATROSS PORTFÖY KISA VADELİ SERBEST (TL) FON,TRYALBT00119,108,1.000
PRV,QINVEST PORTFÖY PARA PİYASASI SERBEST FON,TRYQPYS00367,108,2.100
PRY,PUSULA PORTFOY PARA PIYASASI (TL) FONU - TRYPSLP00028,TRYPSLP00028,107,1.250
PSE,ATLAS PORTFOY PARA PIYASASI SERBEST FON - TRYATLP00309,TRYATLP00309,108,1.050
PSL,AZİMUT PORTFÖY 8.0 SERBEST FON,TRYAZIM00374,108,3.200
PTE,TEB PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,TRYTEBP00542,108,0.750
PTF,QNB PORTFÖY TREND SERBEST FON,TRYFIPO00818,108,1.750
PTN,PHİLLİP PORTFÖY ALTIN FONU,TRYPHPY00107,105,2.100
PTO,PARDUS PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYA1PY00537,104,2.000
PTP,AHLATCI PORTFÖY PARA PİYASASI (TL) FONU,TRYAHLP00023,107,1.000
PTS,QNB PORTFÖY PARA PİYASASI SERBEST (TL) FON,TRYFIPO00792,108,1.300
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,TRYAKPO00476,108,1.000
PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,TRYAPYS00098,108,1.000
PYR,PARDUS PORTFOY YIRMINCI HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYA1PY00628,TRYA1PY00628,108,2.000
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,TRYAPYS00049,114,1.000
RBB,RE-PIE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,TRYRGGS01039,100,1.500
RBF,ROTA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,TRYROTP00539,100,1.000
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYAPYS00023,104,1.950
RBI,RE-PIE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYRGGS00767,108,1.250
RBK,ALBARAKA PORTFÖY KATILIM FONU,TRYAPYS00031,114,1.500
RBL,QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON,TRYFIPO00776,108,2.750
RBN,RE-PIE PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYRGGS00742,108,2.000
RBP,RE-PIE PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,TRYRGGS00940,107,0.900
RBR,RE-PIE  PORTFÖY BİRİNCİ KATILIM SERBEST FON,TRYRGGS00577,108,1.500
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,TRYAPYS00056,114,1.000
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,TRYAPYS00064,114,1.500
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,TRYAZIM01596,114,3.000
RD1,ROTA PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYROTP00562,101,2.000
RDF,ROTA PORTFOY DOKUZUNCU HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYROTP00349,TRYROTP00349,108,2.000
RDT,PHİLLİP PORTFÖY RODOSTO SERBEST FON,TRYPHPY00081,108,3.000
RGD,RE-PIE PORTFÖY AGRESİF DEĞİŞKEN FON,TRYRGGS01211,101,1.750
RGH,RE-PIE PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYRGGS01203,108,3.000
RHI,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYRGGS01047,104,2.000
RHS,ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYROTP00158,104,2.500
RIA,ROTA PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYROTP00844,108,3.600
RIH,RE-PIE PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYRGGS00544,108,2.000
RIK,RE-PIE PORTFOY IKINCI DEGISKEN FON - TRYRGGS00569,TRYRGGS00569,101,1.500
RKC,ROTA PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYROTP00778,101,2.000
RKH,RE-PIE PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TRYRGGS00916,108,2.500
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,TRYROTP00554,114,1.200
RKV,RE-PIE PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,TRYRGGS00833,108,1.000
ROF,ROTA PORTFOY ONUNCU SERBEST FON  - TRYROTP00307,TRYROTP00307,108,2.500
RPC,ROTA PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,TRYROTP00117,101,2.000
RPD,RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYRGGS00288,101,1.190
RPG,ROTA PORTFÖY ALTIN FONU,TRYROTP00034,105,1.600
RPI,ROTA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYROTP00521,104,2.500
RPL,RE-PIE PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,TRYRGGS00965,108,3.000
RPM,ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON,TRYROTP00083,101,2.500
RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,TRYROTP00067,107,0.900
RPS,ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYROTP00059,108,0.900
RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,TRYROTP00075,108,1.000
RPX,ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,TRYROTP00125,108,1.000
RRA,ROTA PORTFÖY PARA PİYASASI SERBEST FON,TRYROTP00901,108,0.350
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,TRYRGGS01054,114,0.900
RS1,ROTA PORTFÖY BİRİNCİ KISA VADELİ SERBEST FON,TRYROTP00851,108,1.000
RSK,ROTA PORTFÖY ONSEKİZİNCİ SERBEST FON,TRYROTP00752,108,2.625
RTD,RE-PIE PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,TRYRGGS00866,101,2.500
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,TRYATAP00120,101,2.500
RTH,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYRGGS00536,108,2.000
RTP,RE PIE PORTFOY BIRINCI SERBEST FON - TRYRGGS00338,TRYRGGS00338,108,2.000
RUT,BV PORTFÖY ROBOTİK VE UZAY TEKNOLOJİLERİ DEĞİŞKEN FON,TRYBVPY00132,101,2.500
SAS,AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYAKPO01680,104,2.000
SFS,AZİMUT PORTFÖY AGRESİF FON SEPETİ FONU,TRYAZIM01711,102,2.000
SGT,GARANTİ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,TRYGAPO01449,101,2.700
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,TRYTEBP00369,101,2.750
SKO,STRATEJİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYSTRP00100,104,3.000
SKZ,NEO PORTFOY SEKIZINCI SERBEST FON  - TRYVVGS01097,TRYVVGS01097,108,3.000
SLG,QNB PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYFIPO00859,104,3.000
SNY,ATLAS PORTFOY SANAYI SEKTORU HISSE SENEDI SERBEST FON(HISSE SENEDI YOGUN FON) - TRYATLP00325,TRYATLP00325,108,2.750
SOS,HEDEF PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,TRYHDFP00854,101,2.950
SPE,AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON,TRYAZIM00184,108,1.500
SPN,AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYAZIM00176,108,3.200
SPP,SPARTA PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,TRYSPRT00027,107,1.000
SPR,BV PORTFÖY SPOR ENDÜSTRİSİ DEĞİŞKEN FON,TRYBVPY00140,101,2.500
SPT,AKTİF PORTFÖY KATILIM FON SEPETİ FONU,TRYMKFT00406,102,1.000
SRL,PARDUS PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYA1PY00651,104,2.000
SSK,DENİZ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,TRYDNZP01411,101,2.500
SSS,YAPI KREDİ PORTFÖY SAVUNMA SANAYİİ ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYYAPO01012,104,2.000
ST1,STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),TRMST1WWWWW8,104,2.993
STI,ATLAS PORTFÖY SENTİMENT SERBEST FON,TRYATLP00358,108,3.250
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYDUUM00010,101,2.000
SUB,ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYDUUM00028,101,2.250
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,TRYUNPO00023,101,2.250
SUR,EMAA BLUE PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYEMAA00103,104,1.900
SVB,STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,TRYSTRP00050,101,2.000
TAL,ATLAS PORTFÖY ALTIN KATILIM FONU,TRYATLP00226,105,1.500
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,TRYAKPO01458,101,2.900
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRMTAUWWWWW6,104,1.900
TBT,TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,TRMTE1WWWWW4,100,2.190
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,TRMTMEWWWWW5,100,1.750
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,TRYTCZB00057,114,1.200
TCB,TACİRLER PORTFÖY PARA PİYASASI FONU,TRYTCMD00010,107,1.250
TCC,TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON,TRYTCMD00028,108,2.500
TCD,TACİRLER PORTFÖY DEĞIŞKEN FON,TRMTCDWWWWW8,101,2.000
TCF,TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,TRYTEBP00351,102,2.500
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,TRYTISB00034,100,1.500
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,TRMTE3WWWWW0,101,1.650
TE4,TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYTEBP00187,101,2.500
TEJ,AZİMUT PORTFÖY TEKNOLOJİ FON SEPETİ FONU,TRYAZIM01349,102,2.835
TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,TRYTEBP00021,102,2.100
TFU,İŞ PORTFÖY TÜFEYE ENDEKSLİ BORÇLANMA ARAÇLARI (TL) FONU,TRYISPO01850,100,1.500
TGA,GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON,TRYGRAN00076,101,2.700
TGE,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,TRYTISB00042,102,2.500
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TRYAKPO00997,101,2.900
THD,TRIVE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON,TRYKIGP00061,104,2.500
THT,TRİVE PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYKIGP00087,108,2.500
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRMTI3WWWWW6,104,1.900
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,TRMTI4WWWWW4,101,2.000
TI6,İŞ PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,TRMTI6WWWWW9,100,2.000
TI7,İŞ PORTFÖY DENGELİ DEĞİŞKEN FON,TRMTI7WWWWW7,101,2.000
TIE,İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRMTIEWWWWW3,104,1.900
TIL,İŞ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYISPO01819,104,2.700
TJF,TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,TRYTEBP00195,102,2.190
TJI,TEB PORTFÖY İKİNCİ FON SEPETİ FONU,TRYTEBP00203,102,2.190
TJT,TEB PORTFÖY ALTINCI SERBEST (DÖVİZ-AVRO) FON,TRYTEBP00229,108,1.000
TKF,TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRMTA1WWWWW8,104,2.920
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRMTI2WWWWW8,104,3.200
TLE,AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,TRYTALP00028,100,1.950
TLH,AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYTALP00010,104,2.750
TLK,AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TRYMKFT00497,114,1.200
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TRYTRPY00181,114,1.000
TLZ,ATA PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYATAP00054,104,2.250
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,TRYTISB00075,101,2.000
TMG,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,TRMTYFWWWWW7,104,2.500
TMM,TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,TRYTRPY00074,108,2.500
TMU,AZİMUT PORTFÖY TEMKİNLİ FON SEPETİ FONU,TRYAZIM01703,102,2.000
TMZ,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK VE TARIM FON SEPETİ FONU,TRYISPO01405,102,2.000
TND,İŞ PORTFÖY TTF TENİSE DESTEK DEĞİŞKEN FON,TRYISPO01728,101,2.000
TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TRMDPFWWWWW9,100,1.750
TP2,TERA PORTFOY PARA PIYASASI (TL) FONU - TRYTRPY00132,TRYTRPY00132,107,1.000
TPC,TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYTEBP00062,102,1.950
TPF,TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU,TRYTACP00019,100,1.250
TPJ,TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TRYTEBP00070,108,1.000
TPL,TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,TRYTEBP00054,100,2.900
TPP,TEB PORTFÖY PUSULA SERBEST FON,TRYTEBP00039,108,2.500
TPV,AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,TRYTROY00028,101,2.600
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,TRYTEBP00047,114,1.050
TRJ,TERA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,TRYTRPY00157,100,0.000
TRU,TERA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,TRYTRPY00116,108,0.000
TTA,İŞ PORTFÖY ALTIN FONU,TRYTISB00422,105,1.900
TTE,İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRMTTEWWWWW0,104,1.900
TTL,TACİRLER PORTFÖY KARTOPU SERBEST FON,TRYTACP00050,108,2.000
TUA,TEB PORTFÖY ALTIN FONU,TRYTEBK00030,105,1.830
TVE,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,TRYEMAA00095,114,2.400
TVN,TRIVE PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYKIGP00079,102,2.000
TZT,ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,TRYTCZB00040,100,2.000
ULH,ÜNLÜ PORTFÖY ONUNCU SERBEST FON,TRYUNPO00239,108,3.500
UNT,İŞ PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,TRYISPO01686,108,0.900
UP1,ÜNLÜ PORTFÖY ALTIN FONU,TRYUNPO00312,105,1.800
UP2,ÜNLÜ PORTFÖY ONİKİNCİ SERBEST FON,TRYUNPO00320,108,1.000
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,TRYUNPO00049,108,1.000
UPH,ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON),TRYUNPO00114,104,2.810
UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,TRYUNPO00148,107,1.000
URA,ATA PORTFOY ENERJI DEGISKEN FON - TRYATAP00161,TRYATAP00161,101,2.500
USY,ÜNLÜ PORTFÖY DEĞER YATIRIMLARI SERBEST FON,TRYDUUM00036,108,3.000
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TRYAKPO01581,104,3.300
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,TRYAKPO01185,101,2.900
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,TRYZIPO00170,114,1.500
VMV,VEGA PORTFÖY MAVİ SERBEST FON,TRYVEGA00028,108,1.000
VNK,VEGA PORTFOY YONETIMI AS ANKA SERBEST FON - TRYVEGA00010,TRYVEGA00010,108,2.100
VPP,VEGA PORTFÖY PARLA SERBEST (DÖVİZ) FON,TRYVEGA00044,108,2.100
VRK,DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU,TRYDNZP01726,114,1.950
YAC,YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,TRYYAPO00071,102,3.000
YAE,YAPI KREDİ PORTFÖY TLREF'E ENDEKSLİ BORÇLANMA ARAÇLARI (TL) FONU,TRYYAPO01186,100,2.000
YAK,YAPI KREDİ PORTFÖY KARMA FON,TRMYAKWWWWW7,110,2.750
YAN,YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,TRYYAPO00063,102,3.000
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),TRMKAKWWWWW6,104,3.550
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,TRMYK9WWWWW2,104,3.249
YBE,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,TRMKHYWWWWW2,100,3.000
YBH,YAPI KREDİ PORTFÖY 5-15 YIL VADELİ SERBEST (DÖVİZ) FON,TRYYAPO00923,108,1.500
YBR,İŞ PORTFÖY YİRMİBİRİNCİ SERBEST (DÖVİZ) FON,TRYISPO01678,108,1.000
YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TRYYKBK00409,100,1.825
YCK,YAPI KREDİ PORTFÖY CİHANGİR SERBEST FON,TRYYAPO00246,108,3.500
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TRYYAPO00436,108,3.000
YCY,İSTANBUL PORTFÖY KATILIM FON SEPETİ FONU,TRYISTP00182,102,2.625
YDI,YAPI KREDİ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYYKBK00458,104,3.450
YDP,YAPI KREDİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,TRYYKYM00019,101,2.000
YEF,YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRMYEFWWWWW9,104,2.008
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,TRYYKBK00607,114,2.008
YGM,YAPI KREDİ PORTFÖY EMTİA SERBEST FON,TRYYAPO00469,108,2.900
YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TRYYAPO00782,104,3.000
