price_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-28,BIA,0.230523,12,590184.29
2026-04-28,BID,3.412663,2256,292712490.61
2026-04-28,BIG,1.382505,3781,578846997.45
2026-04-28,BIH,7.509574,410,749021583.69
2026-04-28,BIK,1.447844,14,3363368454.65
2026-04-28,BIO,2.489459,12043,1119423540.52
2026-04-28,BIP,1.445448,194,3839128832.03
2026-04-28,BIS,1.629307,76,808745811.78
2026-04-28,BIY,1.277225,333,79632490.40
2026-04-28,BJD,49.571967,76,1628445991.80
2026-04-28,BKO,1.133486,1,3057472907.46
2026-04-28,BKY,46.040580,575,2086993246.06
2026-04-28,BLA,7.446077,15,6957914095.48
2026-04-28,BLD,1.476580,750,474473794.52
2026-04-28,BLT,1.761420,3058,382666582.25
2026-04-28,BMU,1.301154,12,1082605860.25
2026-04-28,BNC,1.992370,255,712984187.58
2026-04-28,BNH,1.297112,202,133340374.85
2026-04-28,BOH,0.942972,11,236280227.90
2026-04-28,BOL,1.555580,258,42011669.30
2026-04-28,BON,1.244868,334,25534073.06
2026-04-28,BOP,45.928298,9,1125437431.57
2026-04-28,BOS,1.467627,1385,2453813998.73
2026-04-28,BP5,1.554386,15,414763331.38
2026-04-28,BPD,49.613033,11,136357899.06
2026-04-28,BPZ,1.385793,418,455566083.85
2026-04-28,BRB,1.420875,11,937551275.26
2026-04-28,BRC,1.214658,39,127119577.84
2026-04-28,BRF,1.484733,1124,110651735.82
2026-04-28,BRG,4.528212,1622,1789726131.72
2026-04-28,BRH,5.652597,15,4557241046.71
2026-04-28,BRR,1.467993,276,384203308.26
2026-04-28,BRT,1.320936,487,37571679.29
2026-04-28,BRZ,51.041429,5,1598496474.06
2026-04-28,BS1,1.165033,137,7339950.19
2026-04-28,BSA,0.422130,1,860943928.22
2026-04-28,BSD,1.109191,97,274922485.23
2026-04-28,BSE,0.879610,66,615472155.08
2026-04-28,BSF,1.349727,1,7630687051.98
2026-04-28,BSH,1.078276,162,8598147.30
2026-04-28,BSM,1.464896,2072,1513029920.36
2026-04-28,BSN,1.472200,14,41630724.70
2026-04-28,BST,10.130784,698,60584824.13
2026-04-28,BTE,4.086614,948,214225861.30
2026-04-28,BTJ,1.245996,79,27816215.80
2026-04-28,BTK,1.337375,384,124472023.20
2026-04-28,BTP,0.511434,15,50672572.04
2026-04-28,BTY,54.795737,3,774702124.36
2026-04-28,BTZ,1.272124,206,8365081.69
2026-04-28,BUB,1.041479,41,3448424.11
2026-04-28,BUC,1.050369,23,257466950.30
2026-04-28,BUP,3.747527,1,12572116194.21
2026-04-28,BUT,1.739714,4,206603800.13
2026-04-28,BUV,1.366904,473,64670239.67
2026-04-28,BUY,1.833364,18262,413370023.22
2026-04-28,BV1,1.536636,796,147640212.74
2026-04-28,BVB,4.060557,1,4365111435.21
2026-04-28,BVC,3.858908,1,6256610969.53
2026-04-28,BVD,1.200381,343,218282440.56
2026-04-28,BVF,1.245247,545,1135555293.75
2026-04-28,BVH,1.813699,14,116923401.77
2026-04-28,BVI,2.997844,31,318026154.81
2026-04-28,BVK,1.034275,38,22918666.36
2026-04-28,BVM,1.280347,164,11159000.32
2026-04-28,BVT,5.101569,10,19204841.86
2026-04-28,BVV,2.874017,525,106385582.16
2026-04-28,BVZ,3.972931,756,2435377531.18
2026-04-28,BYZ,2.221014,42,182464796.30
2026-04-28,CAH,1.361625,369,55731622.59
2026-04-28,CBD,2.581266,15,246230789.22
2026-04-28,CBN,48.726114,6,626523204.68
2026-04-28,CBO,308.651698,3,2233173434.04
2026-04-28,CEY,61.876728,3,205086393.60
2026-04-28,CFO,2.224722,501,2865352939.76
2026-04-28,CGD,54.187204,2,599827095.11
2026-04-28,CHY,0.626625,42,140672464.42
2026-04-28,CIN,1.599845,538,38211921.23
2026-04-28,CJD,47.792465,29,48098719.58
2026-04-28,CJF,61.016800,3,1851520878.41
2026-04-28,CJG,61.404232,1,1860163473.22
2026-04-28,CJH,58.468845,1812,3214254878.94
2026-04-28,CKF,1.862507,1715,539972146.66
2026-04-28,CKL,1.418036,839,373799148.54
2026-04-28,CKS,56.990106,2451,6039579037.30
2026-04-28,COT,55.988160,197,516293696.34
2026-04-28,CPT,3.353707,8882,538224129.73
2026-04-28,CPU,3.162527,12745,1007507519.50
2026-04-28,CRL,45.553015,3,979389811.99
2026-04-28,CSD,60.092641,1,626210325.39
2026-04-28,CSH,3.707645,55,5514911506.98
2026-04-28,CTF,8.701911,1,325203979.99
2026-04-28,CTG,7.116759,1,15417062.43
2026-04-28,CTM,5.971093,1,15419582.32
2026-04-28,CTP,58.143624,1,526308527.46
2026-04-28,CTV,10.159978,4,192437824.44
2026-04-28,CVA,3.701718,1,8554564784.74
2026-04-28,CVB,3.818569,5,1806625484.10
2026-04-28,CVC,2.600101,2,652952294.86
2026-04-28,CVD,59.450917,2,1015694662.05
2026-04-28,CVE,2.459456,1,270594869.39
2026-04-28,CVF,4.196396,1,867743785.79
2026-04-28,CVK,4.664209,2081,626263673.96
2026-04-28,CVL,1.227627,101,28136877.24
2026-04-28,CYD,54.552162,382,1297542058.56
2026-04-28,DA1,46.221061,48,31043589.66
2026-04-28,DAC,67.843931,1,522044121.31
2026-04-28,DAE,3.621889,1,1820327369.71
2026-04-28,DAH,3.753775,2914,772039714.06
2026-04-28,DAI,89.518999,4,342904405.49
2026-04-28,DAL,66.533312,1,577187255.88
