price_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-27,AAK,35.433814,762,35299944.56
2026-04-27,AAL,3.172561,4860,3101854505.84
2026-04-27,AAS,11.333262,158,23918837.90
2026-04-27,AAV,62.499869,2308,302691115.16
2026-04-27,ABG,61.931971,159,7648086768.86
2026-04-27,ABJ,0.870807,3,1164566393.31
2026-04-27,ABU,0.093854,37,54445781.05
2026-04-27,AC1,2.859092,165,302006079.75
2026-04-27,AC2,3.496552,48,8666966804.53
2026-04-27,AC3,66.392374,14,138797373.42
2026-04-27,AC4,3.510249,3593,1580035921.64
2026-04-27,AC5,3.417265,181,52494299.51
2026-04-27,AC6,55.748454,108,76062522.29
2026-04-27,AC7,11.603692,45,6270460726.77
2026-04-27,AC8,192.524679,97,2375640371.50
2026-04-27,ACC,44.583434,1457,191474346.27
2026-04-27,ACD,5.573553,1567,320734682.23
2026-04-27,ACN,11.723002,15,632897066.29
2026-04-27,ACU,52.603267,158,1344671546.68
2026-04-27,ADE,0.871454,27084,1049285509.24
2026-04-27,ADP,1.352604,22531,4226812769.12
2026-04-27,AED,109.821323,814,42609717.95
2026-04-27,AES,0.168055,36289,1760002370.48
2026-04-27,AEV,1.909091,401,10900334.19
2026-04-27,AFA,1.091078,46005,5375805698.72
2026-04-27,AFO,1.340861,87457,22966184744.01
2026-04-27,AFS,0.298460,26921,758481756.52
2026-04-27,AFT,0.904328,143639,25237070609.47
2026-04-27,AFV,0.532017,15663,1170065886.10
2026-04-27,AGC,8.644268,2480,99896647.18
2026-04-27,AHH,9.558673,15,204274676.02
2026-04-27,AHI,37.839241,2664,147205013.97
2026-04-27,AHN,66.230623,102,28665474.78
2026-04-27,AHU,10.143229,605,214058433.89
2026-04-27,AHV,19.679752,155,116878148.22
2026-04-27,AHZ,26.922083,12,630969627.42
2026-04-27,AI1,1.106500,19,65192877.19
2026-04-27,AIH,18.560517,4,178993060.56
2026-04-27,AII,89.413079,3,365788907.11
2026-04-27,AIM,24.422334,1,52808095.72
2026-04-27,AIR,153.035528,1,1340244450.72
2026-04-27,AIS,0.094972,12679,13241092905.47
2026-04-27,AJ1,1.204755,102,31600854.35
2026-04-27,AJE,58.620684,1019,3653773337.47
2026-04-27,AJK,60.010725,131,135165696.82
2026-04-27,AJL,59.615718,1482,5373332218.62
2026-04-27,AJN,57.900231,357,561697494.22
2026-04-27,AK2,0.508257,9475,213031985.61
2026-04-27,AK3,52.999109,21209,8695904252.60
2026-04-27,AKE,0.490968,13910,1052430029.90
2026-04-27,AKU,0.951873,17223,1579616174.42
2026-04-27,AL4,3.537315,12,1126797727.56
2026-04-27,AL5,50.291662,2460,14981669271.61
2026-04-27,AL6,3.458945,12,4934506943.13
2026-04-27,AL7,3.343341,108,7870047215.51
2026-04-27,ALC,0.367192,26671,2030766450.72
2026-04-27,ALE,11.953509,133614,70893513904.29
2026-04-27,AN1,96.708831,2573,1235125372.90
2026-04-27,ANL,33.140881,4151,647985875.62
2026-04-27,ANZ,20.372498,183,267255334.15
2026-04-27,AOJ,1.548216,248,24593191.29
2026-04-27,AOY,0.363222,36532,1018851701.08
2026-04-27,AP2,3.627435,35,1041169073.37
2026-04-27,AP4,1.218111,11,303575526.92
2026-04-27,AP5,1.033906,12,1061400.02
2026-04-27,AP6,8.730078,46,1052836845.15
2026-04-27,AP7,2.311670,543,176260219.96
2026-04-27,APJ,6.947217,3186,101948598.14
2026-04-27,APP,32.558965,2,208882107.75
2026-04-27,APT,0.148202,13555,311219152.94
2026-04-27,ARE,0.220190,1665,35819343.21
2026-04-27,ARF,7.881885,1,712127516.95
2026-04-27,ARL,14.986935,7880,4197428237.17
2026-04-27,ARM,17.771309,5621,3336570480.68
2026-04-27,ARP,41.521900,1,3137560701.59
2026-04-27,AS1,44.738791,41,6538395.36
2026-04-27,AS3,0.739879,16,167100221.96
2026-04-27,ASJ,3.854167,852,72834218.58
2026-04-27,ATJ,22.218565,11,1063547186.70
2026-04-27,AU1,1.180202,628,58492921.01
2026-04-27,AUT,8.986082,154,2642968.51
2026-04-27,AUV,46.444120,619,773999947.18
2026-04-27,AVC,143.252201,11,241486680.84
2026-04-27,AVT,200.694792,19633,3262374322.43
2026-04-27,AVZ,96.132962,1,221343260.61
2026-04-27,AY6,1.312392,11,102710671.93
2026-04-27,AY7,1.481867,12,210030944.74
2026-04-27,AYA,19.125212,10406,1250094745.29
2026-04-27,AYR,0.124055,13194,1608934513.54
2026-04-27,AZF,0.163474,4,543575981.73
2026-04-27,AZJ,18.154222,41,663791886.95
